n,algorithm,time 
1,0,36497.1
1,1,37526.8
1,2,37363.5
3,0,37993.6
3,1,38149.3
3,2,38796.5
5,0,39182.2
5,1,39051.9
5,2,38840.4
7,0,39223.2
7,1,39064.6
7,2,39461.5
9,0,41146.4
9,1,40619.7
9,2,40711.7
11,0,44891.8
11,1,40424.3
11,2,40382.3
13,0,40706.2
13,1,40980.4
13,2,40413.1
15,0,40940.7
15,1,40567.8
15,2,40597.8
17,0,41423.2
17,1,41169.9
17,2,41223.9
19,0,41520.2
19,1,41852.3
19,2,41883.4
21,0,42193.5
21,1,41866.9
21,2,41676.6
23,0,42364.4
23,1,41780.2
23,2,42359.9
25,0,42298.3
25,1,41988
25,2,42329.5
27,0,42468
27,1,42581.1
27,2,42700.5
29,0,42772.5
29,1,43043.4
29,2,42074.8
31,0,42834
31,1,42406.3
31,2,42621.3
33,0,43037.8
33,1,42528.7
33,2,42948.9
35,0,43205.3
35,1,42905.9
35,2,42785.6
37,0,43643.9
37,1,43182.7
37,2,42974.8
39,0,43739.6
39,1,43115
39,2,43375.1
41,0,44023.6
41,1,43529
41,2,43255.7
43,0,44062.8
43,1,43767.4
43,2,43591.4
45,0,44275.7
45,1,43742.4
45,2,43730.4
47,0,44364.2
47,1,43815.7
47,2,44301.4
